tconst,primaryTitle,isAdult,episode_count,averageRating,numVotes
tt0044250,China Smith,0,26,7.5,36
tt0044254,Cowboy G-Men,0,39,6.6,77
tt0044255,"Craig Kennedy, Criminologist",0,26,5.3,35
tt0044256,Curtain Call,0,15,5.9,34
tt0044257,Dangerous Assignment,0,39,6.7,150
tt0044259,Death Valley Days,0,452,7.5,1123
tt0044261,The Doctor,0,43,6.2,38
tt0044262,The Ernie Kovacs Show,0,17,8.3,127
tt0044263,Four Star Playhouse,0,130,7.6,253
tt0044264,Gang Busters,0,49,6.8,88
tt0044265,Guiding Light,0,10532,6.5,1911
tt0044266,Hallmark Hall of Fame,0,41,8.2,341
tt0044269,I Married Joan,0,98,7.7,414
tt0044270,I've Got a Secret,0,1224,7.9,570
tt0044272,The Jackie Gleason Show,0,168,8.5,532
tt0044275,Masquerade Party,0,31,7.3,27
tt0044276,Meet Millie,0,124,8.2,27
tt0044277,Mr. & Mrs. North,0,57,7.4,260
tt0044279,Mister Peepers,0,116,7.5,175
tt0044281,My Friend Irma,0,39,6.8,37
tt0044282,My Hero,0,33,7.1,61
tt0044283,My Little Margie,0,126,7.7,457
tt0044284,Omnibus,0,158,8.4,221
tt0044287,Our Miss Brooks,0,130,8,738
tt0044289,Ramar of the Jungle,0,52,7.3,117
tt0044290,Rebound,0,32,6.7,26
tt0044291,The Red Buttons Show,0,26,8.3,68
tt0044296,This Is Your Life,0,349,7,318
tt0044298,Today,0,10188,4.6,2511
tt0044299,Two for the Money,0,8,7.6,28
tt0044301,The Unexpected,0,40,7.8,35
tt0045372,The Big Picture,0,44,7.4,45
tt0045373,The Bob Hope Show,0,153,7.4,267
tt0045376,Candid Camera,0,2,7.3,80
tt0045378,City Detective,0,64,7.4,43
tt0045379,Coke Time,0,45,7.4,34
tt0045380,Colonel Humphrey Flack,0,80,7.8,37
tt0045383,The Dennis Day Show,0,18,7.5,28
tt0045385,Rheingold Theatre,0,156,8.4,76
tt0045395,General Electric Theater,0,303,6.8,443
tt0045397,I Led 3 Lives,0,117,8.1,171
tt0045398,I'm the Law,0,29,6.7,50
tt0045406,The Life of Riley,0,219,8,467
tt0045407,Life with Elizabeth,0,40,7.3,349
tt0045408,Life with Father,0,10,8.3,58
tt0045409,The Loretta Young Show,0,257,7.6,313
tt0045410,The Danny Thomas Show,0,343,7.1,1306
tt0045411,The Man Behind the Badge,0,92,7.2,72
tt0045412,Medallion Theatre,0,39,6.5,36
tt0045414,The Ray Milland Show,0,77,7.4,59
tt0045415,The Motorola Television Hour,0,16,6.8,41
tt0045418,My Favorite Husband,0,96,6.4,28
tt0045419,Your Favorite Story,0,100,7.9,32
tt0045421,Name That Tune,0,9,7,56
tt0045430,The Pepsi-Cola Playhouse,0,93,7.7,66
tt0045431,Person to Person,0,322,8.3,226
tt0045433,The Philip Morris Playhouse,0,23,7.3,34
tt0045434,The Pride of the Family,0,40,7.2,33
tt0045435,Private Secretary,0,107,7.9,206
tt0045436,The Quatermass Experiment,0,6,7.2,457
tt0045437,Rod Brown of the Rocket Rangers,0,59,6.8,28
tt0045439,Space Command,0,151,7.1,46
tt0045447,Topper,0,78,8.2,586
tt0045449,The United States Steel Hour,0,251,8,199
tt0045455,Where's Raymond?,0,61,6.9,33
tt0045456,Winky-Dink and You,0,67,7.5,63
tt0045458,You Are There,0,160,8.4,210
tt0046574,Mystery Is My Business,0,32,8.3,25
tt0046576,The Adventures of Rin Tin Tin,0,164,7,873
tt0046578,Annie Oakley,0,81,7.2,384
tt0046580,The Best of Broadway,0,9,7,50
tt0046583,The Brighter Day,0,2263,7.2,36
tt0046584,Caesar's Hour,0,73,8.1,200
tt0046585,Captain Midnight,0,40,7.7,170
tt0046587,Climax!,0,166,6.6,269
tt0046588,Colonel March of Scotland Yard,0,26,7.2,324
tt0046590,Crown Theatre with Gloria Swanson,0,27,2.8,59
tt0046591,Dear Phoebe,0,33,7,26
tt0046592,December Bride,0,157,8,275
tt0046593,The Magical World of Disney,0,737,8.4,2349
tt0046594,The Donald O'Connor Show,0,20,7.7,41
tt0046596,Duffy's Tavern,0,38,6.9,34
tt0046600,Father Knows Best,0,204,7.4,2717
tt0046604,The George Gobel Show,0,136,7.5,86
tt0046606,The Halls of Ivy,0,38,8.1,56
tt0046610,It's a Great Life,0,78,7.6,75
tt0046613,The Jimmy Durante Show,0,50,7.8,46
tt0046615,The Joe Palooka Story,0,27,6.4,32
tt0046616,Justice,0,89,5.7,25
tt0046617,Lassie,0,591,6.5,3923
